mep_id,date,occupation,activity,first_name,last_name,country,eugroup
124891,membership,Członek Rady Fundatorów Fundacji  'Dyplomacja i Polityka',0,Zdzisław,KRASNODĘBSKI,Poland,ECR
124891,membership,Prezes Stowarzyszenia 'Twórcy dla  Rzeczpospolitej',0,Zdzisław,KRASNODĘBSKI,Poland,ECR
124891,membership,Czlonek Rady Polskiego Instytutu  Spraw Miedzynarodowych,0,Zdzisław,KRASNODĘBSKI,Poland,ECR
124891,membership,Przewodniczacy Rady Instytutu  Zachodniego,1,Zdzisław,KRASNODĘBSKI,Poland,ECR
28340,occupation,DAL 2004 AL 2009 -  DEPUTATO AL PARLAMENTO EUROPEO,4,Patrizia,TOIA,Italy,S&D
28340,occupation,DAL 2009 AL 2014 -  DEPUTATO AL PARLAMENTO EUROPEO,4,Patrizia,TOIA,Italy,S&D
28340,membership,DAL 20.01.2014 - MEMBRO  IN QUANTO HA DICHIARATO LA RINUNCIA AD OGNI FORMA DI EMOLUMENTO E ALTRA FORMA DI CONTRIBUZIONE DEL COMITATO DI SOLIDARIETÀ DI BANCA PROSSIMA (MILANO),0,Patrizia,TOIA,Italy,S&D
28340,membership,MEMBRO| DEL CONSIGLIO  DI AMMINISTRAZIONE DELLA FONDAZIONE MARIA PAOLA COLOMBO SVEVO| FONDAZIONE SENZA   SCOPO    DI  LUCR CON FINALITÀ DI SOLIDARIE SOCIALE,0,Patrizia,TOIA,Italy,S&D
28340,membership,MEMBRO| DEL CONSIGLIO  DI AMMINISTRAZIONE DELLA FONDAZIONE FRANCO VERGA - C.O.I.| FONDAZIONE SENZ SCOPO DI LUCRO CHE OPERA  CAMPO DEL VOLONTARIATO,0,Patrizia,TOIA,Italy,S&D
124781,occupation,Member of Parliament - Malta,3,Alfred,SANT,Malta,S&D
28400,occupation,Diputado al Parlamento Europeo,4,Francisco José,MILLÁN MON,Spain,PPE
28400,membership,Miembro del Comité Ejecutivo  Nacional del Partido Popular,0,Francisco José,MILLÁN MON,Spain,PPE
124889,occupation,Poseł na Sejm RP,3,Agnieszka,KOZŁOWSKA-RAJEWICZ,Poland,PPE
124889,occupation,Sekretarz Stanu w Kancelarii  Premiera RP,3,Agnieszka,KOZŁOWSKA-RAJEWICZ,Poland,PPE
124889,activity,wykłady uniwersyteckie,1,Agnieszka,KOZŁOWSKA-RAJEWICZ,Poland,PPE
96743,occupation,Députée européenne (7e législature),3,Michèle,RIVASI,France,Verts/ALE
96743,occupation,Conseillère municipale à Valence (FR) - fin  mars 2014,1,Michèle,RIVASI,France,Verts/ALE
28365,occupation,MEP,4,Pier Antonio,PANZERI,Italy,S&D
125113,occupation,ΙΔΙΩΤΙΚΟΣ ΥΠΑΛΛΗΛΟΣ,2,Miltiadis,KYRKOS,Greece,S&D
125113,occupation,ΣΥΝΕΡΓΑΤΗΣ ΕΥΡΩΒΟΥΛΕΥΤΟΥ,2,Miltiadis,KYRKOS,Greece,S&D
96670,occupation,Député européen,4,Louis,MICHEL,Belgium,ALDE
2025,occupation,Parlementaire européenne (7e  législature),4,Françoise,GROSSETÊTE,France,PPE
96993,occupation,Parlamentare Europeo,3,Lorenzo,FONTANA,Italy,ENF
125072,occupation,Συνταξιούχος Στρατιωτικός,2,Eleftherios,SYNADINOS,Greece,NA/NI
4555,occupation,MEP,4,Daniel,HANNAN,United Kingdom,ECR
4555,occupation,Freelance Writer and Speaker,3,Daniel,HANNAN,United Kingdom,ECR
4555,activity,Freelance writing & speaking,3,Daniel,HANNAN,United Kingdom,ECR
4555,membership,Adviser| J.C. Bamford Excavators  Ltd.,3,Daniel,HANNAN,United Kingdom,ECR
125193,occupation,RICERCATRICE  UNIVERSITÀ,3,Eleonora,FORENZA,Italy,GUE/NGL
125193,membership,DIRETTIVO INTERNATIONAL  GRAMSCI,0,Eleonora,FORENZA,Italy,GUE/NGL
96815,occupation,Lid van het Europees Parlement,4,Judith,SARGENTINI,Netherlands,Verts/ALE
96815,occupation,Algemeen     bestuurslid  Verzetsmuseum Amsterdam,0,Judith,SARGENTINI,Netherlands,Verts/ALE
96815,occupation,Bestuurslid        stichting     Ni!  producties,0,Judith,SARGENTINI,Netherlands,Verts/ALE
28229,occupation,Mitglied     des    Europäischen  Parlaments,4,Manfred,WEBER,Germany,PPE
28229,occupation,Geschäftsführer DG Beratung  GmbH,3,Manfred,WEBER,Germany,PPE
28229,membership,Stellvertretender Parteivorsitzender  der Christlich-Sozialen Union in Bayern e.V.,0,Manfred,WEBER,Germany,PPE
112744,occupation,Zastupnik u Hrvatskom Saboru,3,Tonino,PICULA,Croatia,S&D
112744,occupation,Promatrač u Europskom  Parlamentu(samo dnevnice),0,Tonino,PICULA,Croatia,S&D
112744,occupation,Zastupnik           u     Europskom  Parlamentu,4,Tonino,PICULA,Croatia,S&D
110977,occupation,Inspecteur de l'administration  (jusque 2011),4,Florian,PHILIPPOT,France,ENF
110977,occupation,Salarié du Front National,4,Florian,PHILIPPOT,France,ENF
110977,occupation,Salarié de la campagne  présidentielle 2012 de Mar Pen,4,Florian,PHILIPPOT,France,ENF
110977,occupation,Assistant parlementaire local de  Marine Le Pen,4,Florian,PHILIPPOT,France,ENF
110977,membership,Membre du Conseil d'administration  du Front National (Bureau Politique),0,Florian,PHILIPPOT,France,ENF
110977,membership,Président de l'association "Les  Patriotes""",0,Florian,PHILIPPOT,France,ENF
1164,occupation,Député au Parlement européen,4,Bruno,GOLLNISCH,France,NA/NI
1164,occupation,Conseiller régional Rhône-Alpes  - Jusqu'en février 2015,2,Bruno,GOLLNISCH,France,NA/NI
1164,occupation,Professeur Université Lyon III -  Retraité depuis 2012,3,Bruno,GOLLNISCH,France,NA/NI
1164,membership,Co-gérant Société civile immobilière  familiale     SCI     Placements     et Participation,0,Bruno,GOLLNISCH,France,NA/NI
1164,holding,Société    civile                  X immobilière familiale SCIPP,-1,Bruno,GOLLNISCH,France,NA/NI
124767,occupation,Valois patrimoine,3,Edouard,FERRAND,France,ENF
124767,occupation,Wandrille finance,3,Edouard,FERRAND,France,ENF
124767,occupation,Conseiller régional,3,Edouard,FERRAND,France,ENF
124767,activity,Valois patrimoine,1,Edouard,FERRAND,France,ENF
124767,membership,Front national,0,Edouard,FERRAND,France,ENF
125041,occupation,Diputada nacional,4,Soledad,CABEZÓN RUIZ,Spain,S&D
124730,occupation,Presidente da Câmara Municipal  de Viseu,3,Fernando,RUAS,Portugal,PPE
124730,occupation,Presidente da           Associação  Nacional    dos            Municípios Portugueses,0,Fernando,RUAS,Portugal,PPE
96858,occupation,Députée européenne,4,Marie-Christine,VERGIAT,France,GUE/NGL
96858,membership,IRIS,0,Marie-Christine,VERGIAT,France,GUE/NGL
124763,membership,Investuotojų Asociacija| Narys,-1,Antanas,GUOGA,Lithuania,PPE
124763,membership,Lietuvos Krepšinio Federacija            - Viceprezidentas ir Valdybos narys,-1,Antanas,GUOGA,Lithuania,PPE
124763,membership,Vilniaus Klubas - Narys,-1,Antanas,GUOGA,Lithuania,PPE
