mep_id,date,occupation,activity,first_name,last_name,country,eugroup
125104,membership,Predsednica dobrodelne ustanove za  štipendiranje Ivana Cankarja,0,Romana,TOMC,Slovenia,PPE
96779,occupation,Member of the European  Parliament,4,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Advisory Board  of the European Policy Center,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Advisory Board  of the Institute of Public Affai,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the European  Council on Foreign Relatio (ECFR),0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Board of  Directors of the Center fo European Policy Studies,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Board of  the European Financial Ser Forum in the EP,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Knowledge for  innovation forum in the EP,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the European Internet  Foundation (EIF),0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Programming  Board of the European Forum o New Ideas,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Board of  Making the Most of EU Funds Roma,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Steering  Committee of the Spinelli G,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Group of  Eminent Persons,0,Danuta Maria,HÜBNER,Poland,PPE
96779,occupation,Member of the Programming  Board of the Women's Congress,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Advisory Board of the  European Policy Center,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Advisory Board of the  Institute of Public Affairs,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the European Council on  Foreign Relations (ECFR),0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Board of Directors of  the Center for European Policy Studies,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Board of the European  Financial Services Forum in the EP,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Knowledge for  innovation forum in the EP,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Steering Committee|  European Internet Foundation (EIF),0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Programming Board  of the European Forum of New Ideas,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Steering Committee of  the Spinelli Group,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Programming Board  of the Women's Congress,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Transatlantic Policy  Network,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Chair of the European Forum for  Manufacturing,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the International  Advisory Board| Centrum Balticum Foundation,0,Danuta Maria,HÜBNER,Poland,PPE
1922,occupation,Mitglied des Europäischen Parlaments,3,Thomas,MANN,Germany,PPE
1922,membership,Mitglied des Rundfunkrates          des Hessischen Rundfunks,-1,Thomas,MANN,Germany,PPE
1922,membership,Mitglied des Vorstands des Kolping- Bildungswerks Limburg,-1,Thomas,MANN,Germany,PPE
131750,occupation,Inspector - Direcţia Sanitară Veterinară  şi pentru Siguranţa Alimentelor Botoşani (2011-2012),1,Mihai,ŢURCANU,Romania,PPE
131750,occupation,Preşedinte - Autoritatea Naţională Sanitară  Veterinară şi pentru Siguranţa Alimentelor Bucureşti (2012- 2013),2,Mihai,ŢURCANU,Romania,PPE
131750,occupation,Inspector - Direcţia Sanitară Veterinară  şi pentru Siguranţa Alimentelor Botoşani (2013),1,Mihai,ŢURCANU,Romania,PPE
131750,occupation,Consilier – Cancelaria Primului Ministru  (2013),1,Mihai,ŢURCANU,Romania,PPE
131750,occupation,Vicepreşedinte – Autoritatea Naţională  pentru Protecţia Consumatorilor (2013- 2014),1,Mihai,ŢURCANU,Romania,PPE
131750,occupation,Consilier Europarlamentar (2014- 2015),2,Mihai,ŢURCANU,Romania,PPE
131750,membership,Membru Consiliul Director - Federaţia Naţională a Crescătorilor de Porumbei din România,-1,Mihai,ŢURCANU,Romania,PPE
131750,membership,Preşedinte- Asociaţia Crescătorilor de Porumbei a judeţului Botoşani,-1,Mihai,ŢURCANU,Romania,PPE
28276,occupation,Europos Parlamento narė -  2013/01/01 - 2014/06/30,4,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
28276,occupation,Kazimiero   Simonavičiaus  universiteto akademinės tarybos narė - 2013/01/01 - 2016/12/31,0,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
28276,occupation,Vilniaus universiteto           Jidiš  instituto valdybos narė 2013/01/01 -,0,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
28276,occupation,PA International fondo valdybos  narė 2014/10 - 2016/05/23,0,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
28276,occupation,Individualios veiklos pažyma  2015/08/21 - 2016/05/19,1,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
28276,occupation,Tėvynės sąjungos - Lietuvos  krikščionių demokratų tarybos i prezidiumo narė: Tarybos: 2013/01/01 - ; Prezidiumo:      2013/01/01     2014/06/30,0,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
28276,occupation,Šv. Jokūbo kelio asociacijos narė  2013/10 -,0,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
28276,membership,Vilniaus universiteto Jidiš instituto  valdybos narė,0,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
28276,membership,Tėvynės sąjungos - Lietuvos  krikščionių demokratų tarybos n,0,Laima Liucija,ANDRIKIENĖ,Lithuania,PPE
2323,occupation,Mitglied des Europäischen  Parlaments (seit 1997),4,Rainer,WIELAND,Germany,PPE
2323,occupation,Mitglied der Versammlung der  Region Stuttgart (seit1994),1,Rainer,WIELAND,Germany,PPE
2323,membership,Mitglied der Versammlung der  Region Stuttgart,1,Rainer,WIELAND,Germany,PPE
96776,occupation,Parlament Europejski| w trakcie ostatnich  trzech lat byłam posłanką do PE,3,Róża Gräfin,von THUN UND HOHENSTEIN,Poland,PPE
96776,membership,Rada Fundacji "Centrum Im. Bronisława Geremka"" (niedopłatnie)",-1,Róża Gräfin,von THUN UND HOHENSTEIN,Poland,PPE
96776,membership,RUCH EUROPEJSKI (EUROPEAN MOVEMENT   INTERNATIONAL)         - WICEPRZEWODNICZĄCA (niedopłatnie),-1,Róża Gräfin,von THUN UND HOHENSTEIN,Poland,PPE
28397,occupation,Diputado al Parlamento Europeo,4,Agustín,DÍAZ DE MERA GARCÍA CONSUEGRA,Spain,PPE
124881,occupation,Poseł na Sejm RP,3,Marek,PLURA,Poland,PPE
124881,occupation,Członek rady Fundacji Teatru  Grodzkiego,0,Marek,PLURA,Poland,PPE
124881,membership,CZŁONEK RADY FUNDACJI  TEATRU GRODZKIEGO,0,Marek,PLURA,Poland,PPE
96762,occupation,MdEP,4,Joachim,ZELLER,Germany,PPE
124806,occupation,07/2010–02/2013                                                                       10000 Niedersächsischer Ministerpräsident,5,David,McALLISTER,Germany,PPE
124806,occupation,1998 bis 26/03/2014 Mitglied  des Niedersächsischen Landtags,2,David,McALLISTER,Germany,PPE
124806,occupation,07/2010–02/2013 Aufsichtsrat  Volkswagen AG,1,David,McALLISTER,Germany,PPE
124806,membership,Matthai      Verwaltungs-GmbH  (Verden),3,David,McALLISTER,Germany,PPE
